Strike,G_S,G_SS,Strike
3190.0,1038.0927913642424,99615312.70980512,3190.0
3195.0,201.36446202911884,19322919.89747006,3195.0
3200.0,12719.580806187734,1220570097.4773877,3200.0
3205.0,1149.146949855684,110272062.10434705,3205.0
3210.0,1522.3311452730038,146082791.7752456,3210.0
3215.0,176.99017990491228,16983965.464804217,3215.0
3220.0,895.8899099256179,85969534.00814614,3220.0
3225.0,8888.633025378123,852952612.475142,3225.0
3230.0,689.0320463517342,66119467.67706762,3230.0
3235.0,522.8277281340565,50170512.756365724,3235.0
3240.0,858.2352708552676,82356197.43826365,3240.0
3245.0,247.37802445429224,23738378.176350925,3245.0
3250.0,9678.713065108144,928768638.6321585,3250.0
3255.0,937.4370620722772,89956395.86454366,3255.0
3260.0,1919.2522682305312,184171315.3768584,3260.0
3265.0,104.90986220190734,10067143.146087684,3265.0
3270.0,456.560429475783,43811507.34452509,3270.0
3275.0,4555.184173457683,437115159.32348514,3275.0
3280.0,555.5682069756097,53312286.84939639,3280.0
3285.0,122.16739109444097,11723174.42915729,3285.0
3290.0,370.0299147369468,35508045.114215575,3290.0
3295.0,53.21105163058615,5106128.846952524,3295.0
3300.0,12116.248561433786,1162674376.8548698,3300.0
3305.0,280.23162116103117,26891007.051928297,3305.0
3310.0,1161.142732897913,111423176.618282,3310.0
3315.0,71.96750571837606,6905996.888447003,3315.0
3320.0,274.46884237268546,26338011.1965924,3320.0
3325.0,3618.7324712434465,347253318.5230043,3325.0
3330.0,327.45634845843256,31422688.62846983,3330.0
3335.0,83.39133540594123,8002226.797889719,3335.0
3340.0,398.10804583786944,38202420.63940299,3340.0
3345.0,81.04017179311197,7776609.299654222,3345.0
3350.0,7939.31004887541,761855645.0810784,3350.0
3355.0,52.42869635538327,5031054.088667111,3355.0
3360.0,474.9745672288641,45578526.73413472,3360.0
3365.0,36.83775479793039,3534948.4114039885,3365.0
3370.0,171.58433448913325,16465220.911298554,3370.0
3375.0,1723.5065785788788,165387572.48946178,3375.0
3380.0,262.83219630968136,25221359.44243072,3380.0
3385.0,65.63146716304091,6297991.065382162,3385.0
3390.0,128.7531918782031,12355147.41844737,3390.0
3395.0,25.20394106375612,2418568.447321603,3395.0
3400.0,8422.500951590446,808222610.8021635,3400.0
3405.0,22.915508086911174,2198970.5765915164,3405.0
3410.0,209.43353613519372,20097227.692536138,3410.0
3415.0,5.552398032876438,532807.732541341,3415.0
3420.0,61.299381798926575,5882284.452426403,3420.0
3425.0,3326.806540992738,319240126.37684923,3425.0
3430.0,50.65010356944399,4860380.447516107,3430.0
